stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,wheelchair_boarding
1-5829,5829,Rimbaud,Louis-XIV / Rimbaud,46.887634,-71.224838,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/5829,1
1-5841,5841,Rimbaud,Louis-XIV / Rimbaud,46.887489,-71.225029,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/5841,0
1-1020,1020,Espace 400,Saint-André / Rioux,46.817104,-71.205879,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/1020,1
1-1110,1110,Espace 400,Saint-André / Rioux,46.817005,-71.206314,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/1110,1
1-3654,3654,la Ritournelle,Damiron / de la Ritournelle,46.81509,-71.351509,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/3654,0
1-4138,4138,la Ritournelle,Damiron / de la Ritournelle,46.815285,-71.3517,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/4138,0
1-3501,3501,de la Belle-Rive,du Collège / de la Belle-Rive,46.862019,-71.178192,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/3501,0
1-3550,3550,de la Belle-Rive,du Père-Giroux / de la Belle-Rive,46.862083,-71.177986,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/3550,0
1-4935,4935,D.-Riverin,de la Famille / D.-Riverin,46.772446,-71.375374,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/4935,0
1-4997,4997,D.-Riverin,de la Famille / D.-Riverin,46.772316,-71.375572,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/4997,1
1-5438,5438,Riverin,Dubé / Riverin,46.814919,-71.285774,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/5438,0
1-2843,2843,la Rivière/2843,M.-Bourgault / de la Rivière,46.761852,-71.361855,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/2843,1
1-2872,2872,la Rivière/2872,M.-Bourgault / de la Rivière,46.761753,-71.361572,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/2872,0
1-5836,5836,Bourg-Royal/5836,Louis-XIV / du Bourg-Royal,46.879379,-71.246712,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/5836,1
1-3641,3641,S.-De Champlain,Saint-David / L.-Roback,46.859386,-71.210197,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/3641,0
1-3559,3559,W.-Robert,A.-Paris / W.-Robert,46.889359,-71.184769,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/3559,0
1-4385,4385,Robitaille,de Monaco / Robitaille,46.819206,-71.307373,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/4385,0
1-5257,5257,Robitaille,de Monaco / Robitaille,46.818974,-71.307236,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/5257,0
1-5330,5330,P.-Robitaille,de la Famille / P.-Robitaille,46.783588,-71.360535,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/5330,0
1-1944,1944,Halles-Ste-Foy,des Q.-Bourgeois / R.-Bourassa,46.782131,-71.287682,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/1944,1
1-1993,1993,Halles-Ste-Foy,des Q.-Bourgeois / R.-Bourassa,46.782207,-71.287109,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/1993,1
1-1162,1162,Rochebelle/1162,R.-Beaudin / De Rochebelle,46.771793,-71.298714,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/1162,1
1-2314,2314,de La Rochelle,de Valmont / de La Rochelle,46.756283,-71.282921,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/2314,0
1-2820,2820,Rochon,Pie-XII / Rochon,46.76878,-71.332375,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/2820,0
1-4483,4483,E.-Rochette,Saint-Paul / É.-Rochette,46.799759,-71.34803,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/4483,0
1-4544,4544,Mont.-des-Roches,des Diamants / de la Montagne-des-Roches,46.877464,-71.253693,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/4544,0
1-4594,4594,E.-Rochette,Saint-Paul / É.-Rochette,46.799503,-71.348412,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/4594,0
1-4657,4657,Rochefort,de Rouen / Rochefort,46.864216,-71.34552,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/4657,0
1-4722,4722,Rochefort,de Rouen / Rochefort,46.86417,-71.345726,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/4722,0
